Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SVC,"Service Properties Trust",7.43,0.069999999999999,+0.95%,7.57,7.18,632786,"11:19 ET"
SWX,"Southwest Gas Corp",68.93,1.41,+2.09%,69,67.29,34745,"11:21 ET"
SXT,"Sensient Technologies Corp",52.43,0.71,+1.37%,52.46,51.24,47485,"11:20 ET"
SYNA,"Synaptics Inc",59.51,0.83,+1.41%,59.79,58.18,96044,"11:21 ET"
SYNH,"Syneos Health Inc",58.11,0.52,+0.90%,58.39,57.04,81934,"11:17 ET"
TCBI,"Texas Capital Bncsh",30.24,1.24,+4.28%,30.37,28.74,70880,"11:21 ET"
TCF,"TCF Financial Corp",29.26,0.71,+2.49%,29.3,27.79,84129,"11:21 ET"
TCO,"Taubman Centers",38.51,0.009999999999998,+0.03%,39.15,38.25,304522,"11:17 ET"
TDC,"Teradata Corp",21.1,0.16,+0.76%,21.1,20.78,88436,"11:19 ET"
TDS,"Telephone and Data Systems",19.91,0.050000000000001,+0.25%,20.08,19.81,179410,"11:20 ET"
TDY,"Teledyne Technologies Inc",308.48,3.7,+1.21%,308.75,302.35,35956,"11:20 ET"
TECD,"Tech Data Cp",144.9,0.28999999999999,+0.20%,145.4,144.72,3111700,06/29/20
TECH,"Bio-Techne Cp",256.39,2.58,+1.02%,257.38,247.51,21456,"11:10 ET"
TER,"Teradyne Inc",84.18,1.35,+1.63%,84.6,82.16,532129,"11:21 ET"
TEX,"Terex Corp",18.66,-0.09,-0.48%,18.86,18.25,94742,"11:20 ET"
TGNA,"Tegna Inc",11.26,0.08,+0.72%,11.3,10.85,351110,"11:20 ET"
THC,"Tenet Healthcare Corp",18.18,-0.02,-0.11%,18.21,17.28,497351,"11:21 ET"
THG,"The Hanover Insurance Group",101.77,1.75,+1.75%,102.6,99.57,47224,"11:17 ET"
THO,"Thor Industries",107.39,0.41,+0.38%,107.87,105.67,173989,"11:18 ET"
THS,"Treehouse Foods",43.34,0.99,+2.34%,43.58,42.44,130147,"11:20 ET"
TKR,"Timken Company",45.59,0.19,+0.42%,45.7,44.99,143799,"11:19 ET"
TMHC,"Taylor Morrison Home Corp",19.05,-0.07,-0.37%,19.32,18.68,196853,"11:21 ET"
TOL,"Toll Brothers Inc",31.96,0.56,+1.78%,32.04,31.21,609621,"11:20 ET"
TPH,"Tri Pointe Homes Inc",14.44,0.28,+1.98%,14.46,13.96,273757,"11:20 ET"
TPX,"Tempur-Pedic International Inc",72.85,0.75,+1.04%,73.06,71.41,76788,"11:17 ET"
TR,"Tootsie Roll Industries",34.1,0.53,+1.58%,34.18,33.49,30759,"11:19 ET"
TREE,"Lendingtree Inc",283.62,10.87,+3.99%,284,272.42,20806,"11:20 ET"
TREX,"Trex Company",130.53,2.5,+1.95%,132.16,128.99,244607,"11:18 ET"
TRIP,"Tripadvisor Inc",18.9,-0.16,-0.84%,19.07,18.47,625961,"11:20 ET"
TRMB,"Trimble Navigation",43.25,0.61,+1.43%,43.31,42.4,74303,"11:21 ET"
TRMK,"Trustmark Corp",24.53,0.55,+2.29%,24.66,23.7,66198,"11:21 ET"
TRN,"Trinity Industries",21.3,0.25,+1.19%,21.36,20.69,92141,"11:20 ET"
TTC,"Toro Company",65.96,-0.34,-0.51%,66.36,65.5,123252,"11:20 ET"
TTEK,"Tetra Tech Inc",79.44,1.01,+1.29%,79.44,77.61,56067,"11:21 ET"
TXRH,"Texas Roadhouse Inc",52.47,-0.6,-1.13%,53.61,51.62,518549,"11:21 ET"
TYL,"Tyler Technologies",343.98,4.12,+1.21%,343.98,337.5,41442,"11:20 ET"
UBSI,"United Bkshs Inc",27.55,0.49,+1.81%,27.67,26.78,86160,"11:20 ET"
UE,"Urban Edge Properties",12.11,0.34,+2.89%,12.17,11.54,840812,"11:19 ET"
UFS,"Domtar Corp",21.15,0.049999999999997,+0.24%,21.3,20.92,112699,"11:20 ET"
UGI,"Ugi Corp",32,0.38,+1.20%,32.1,31.36,230221,"11:20 ET"
UMBF,"Ump Financial Corp",51.44,1.17,+2.33%,51.57,49.83,53455,"11:20 ET"
UMPQ,"Umpqua Holdings Corp",10.68,0.24,+2.30%,10.7,10.27,266935,"11:20 ET"
URBN,"Urban Outfitters Inc",15.05,0.020000000000001,+0.13%,15.1,14.49,758219,"11:21 ET"
UTHR,"United Therapeutic",120.86,0.90000000000001,+0.75%,121.44,118.6,50156,"11:20 ET"
VAC,"Marriot Vacations Worldwide Cor",81.74,0.64,+0.79%,82,80.13,76738,"11:20 ET"
VC,"Visteon Corp",67.3,1.86,+2.84%,67.42,64.42,27385,"11:11 ET"
VLY,"Valley National Bancorp",7.8,0.1,+1.30%,7.81,7.61,426797,"11:21 ET"
VMI,"Valmont Industries",113.78,2.69,+2.42%,113.91,110.57,18139,"11:20 ET"
