Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BHF,"Brighthouse Financial Inc",27.54,0.57,+2.11%,26.66,27.65,26.66,186473,"11:20 ET"
BIIB,"Biogen Inc",265.49,5.14,+1.97%,260.95,265.61,260.35,229311,"11:21 ET"
BILL,"Bill.com Holdings Inc",89.03,-0.73,-0.81%,89,90.72,87.88,227317,"11:21 ET"
BIO,"Bio-Rad Laboratories",441.64,9.3,+2.15%,433.18,441.71,433.16,19130,"11:21 ET"
BK,"Bank of New York Mellon Corp",38.09,1.14,+3.09%,36.98,38.12,36.88,1619138,"11:22 ET"
BKI,"Black Knight Inc",72.49,0.58999999999999,+0.82%,72.1,72.61,71.9,111815,"11:21 ET"
BKNG,"Booking Holdings Inc",1586.34,-6.8800000000001,-0.43%,1583.9,1596.68,1566.42,54527,"11:21 ET"
BKR,"Baker Hughes A Ge Co. Cl A",15.1,0.25,+1.68%,14.66,15.1,14.64,676730,"11:22 ET"
BKU,"BankUnited Inc",20.12,0.41,+2.08%,19.46,20.14,19.34,117440,"11:21 ET"
BLK,Blackrock,537.67,4.8,+0.90%,533.97,540.45,532,173105,"11:21 ET"
BLL,"Ball Corp",68.79,0.40000000000001,+0.58%,68.35,68.88,68.22,179401,"11:21 ET"
BLUE,"Bluebird Bio",61.41,1.32,+2.20%,60.35,61.56,59.84,123883,"11:21 ET"
BMRN,"Biomarin Pharmaceuticals",123.2,1.02,+0.83%,122.19,123.24,121.04,157707,"11:20 ET"
BMY,"Bristol-Myers Squibb Company",57.74,-0.059999999999995,-0.10%,57.86,58.03,57.5,1930054,"11:21 ET"
BOH,"Bank of Hawaii Corp",61.89,1.42,+2.35%,59.88,61.89,59.88,33369,"11:20 ET"
BOKF,"Bok Financial Corp",56.41,1.69,+3.09%,54.4,56.47,53.99,48549,"11:16 ET"
BPOP,"Popular Inc",37.24,0.25,+0.68%,36.61,37.33,36.58,64598,"11:21 ET"
BPYU,"Brookfield Property REIT Inc",10.08,-0.1,-0.98%,10.41,10.5,10.01,222887,"11:20 ET"
BR,"Broadridge Financial Solutions Llc",126.18,0.41000000000001,+0.33%,125.52,126.64,125.52,76949,"11:21 ET"
BRK.B,"Berkshire Hathaway Cl B",177.62,0.43000000000001,+0.24%,176.75,177.68,176.5,1031298,"11:22 ET"
BRKR,"Bruker Corp",40.12,0.84999999999999,+2.16%,39.64,40.29,39.45,96300,"11:21 ET"
BRO,"Brown & Brown",40.55,0.58,+1.45%,39.95,40.55,39.93,176771,"11:21 ET"
BRX,"Brixmor Property Group Inc",13.01,0.06,+0.46%,12.98,13.11,12.67,932972,"11:21 ET"
BSX,"Boston Scientific Corp",34.94,0.29,+0.84%,34.61,34.95,34.23,3341834,"11:21 ET"
BURL,"Burlington Stores Inc",196.33,-1.7,-0.86%,196.95,198.01,195,219029,"11:19 ET"
BWA,"Borgwarner Inc",35.38,0.3,+0.86%,34.79,35.41,34.42,465404,"11:21 ET"
BWXT,"Bwx Technologies Inc",56.46,0.35,+0.62%,56.19,56.67,55.76,140612,"11:14 ET"
BXP,"Boston Properties",89.97,0.3,+0.33%,89.84,90.68,88.44,242239,"11:20 ET"
BYND,"Beyond Meat Inc",133.37,1.82,+1.38%,132.79,136.61,130.55,2176653,"11:21 ET"
C,"Citigroup Inc",50.94,0.65,+1.29%,49.81,51.06,49.65,6547167,"11:22 ET"
CABO,"Cable One Inc",1776.33,19.33,+1.10%,1768.6,1787.3,1715.11,8060,"11:17 ET"
CACC,"Credit Acceptance",422.43,2.27,+0.54%,408.87,425.46,408.87,74087,"11:21 ET"
CACI,"Caci International",217.36,-1.73,-0.79%,218.75,219.82,216.26,30454,"11:21 ET"
CAG,"Conagra Brands Inc",34.87,1.17,+3.47%,34.89,35.43,34.17,2920414,"11:22 ET"
CAH,"Cardinal Health",51.61,-0.36,-0.69%,51.28,51.63,50.83,365022,"11:21 ET"
CARR,"Carrier Global Corporation [Carr/I]",22.05,-0.07,-0.32%,21.81,22.12,21.41,1494075,"11:21 ET"
CASY,"Casey's General Stor",147.67,-0.72,-0.49%,147.47,148,146.93,34304,"11:21 ET"
CAT,"Caterpillar Inc",125.46,0.20999999999999,+0.17%,124.01,125.75,123.97,524862,"11:21 ET"
CB,"Chubb Ltd",127.21,1.51,+1.20%,125.51,127.21,125,323064,"11:22 ET"
CBOE,"CBOE Global Markets Inc",91.24,-1.57,-1.69%,91.96,93.09,91.2,126655,"11:19 ET"
CBRE,"CBRE Group Inc",45.34,1.1,+2.49%,44.33,45.49,44.14,250897,"11:21 ET"
CBSH,"Commerce Bancshares",59.47,0.98,+1.68%,57.75,59.54,57.66,57472,"11:22 ET"
CBT,"Cabot Corp",36.81,0.26000000000001,+0.71%,36.3,36.91,35.9,23724,"11:20 ET"
CC,"Chemours Company",15,-0.31,-2.02%,15.07,15.3,14.93,696808,"11:21 ET"
CCI,"Crown Castle International Corp",165.88,3.58,+2.21%,162.94,166.16,162.84,398574,"11:22 ET"
CCK,"Crown Cork & Seal Company",65.11,0.16,+0.25%,64.69,65.3,64.39,191556,"11:22 ET"
CCL,"Carnival Corp",16.61,-0.17,-1.01%,16.55,16.96,15.85,10745311,"11:22 ET"
CDAY,"Ceridian Hcm Holding Inc",79.14,0.86,+1.10%,78.3,79.15,77.54,243097,"11:21 ET"
CDEV,"Centennial Resource Development Inc",0.9093,-0.0407,-4.28%,0.9442,0.9475,0.89,4084903,"11:22 ET"
CDK,"Cdk Global Inc",41.25,0.22,+0.54%,40.79,41.33,40.66,72495,"11:20 ET"
CDNS,"Cadence Design Sys",95.65,1.62,+1.72%,94.45,95.68,94.03,374261,"11:21 ET"
CDW,"CDW Corp",115.26,1.26,+1.11%,113.6,116,112.5,179531,"11:22 ET"
CE,"Celanese Corp",86.17,0.78,+0.91%,84.67,86.32,84.25,78290,"11:21 ET"
CERN,"Cerner Corp",68.12,0.18000000000001,+0.26%,68.06,68.56,67.37,375796,"11:22 ET"
CF,"Cf Industries Holdings",27.78,0.23,+0.83%,27.29,27.9,26.96,506178,"11:21 ET"
CFG,"Citizens Financial Group Inc/Ri",24.78,1.25,+5.31%,23.38,25.08,23.31,3257141,"11:22 ET"
CFR,"Cullen/Frost Bankers",74.18,1.64,+2.26%,71.72,74.24,71.64,40369,"11:20 ET"
CFX,"Colfax Corp",27.42,0.53,+1.97%,26.64,27.51,26.64,161331,"11:21 ET"
CGNX,"Cognex Cp",59.64,0.97,+1.65%,58.93,59.91,58.8,358643,"11:21 ET"
CHD,"Church & Dwight Company",77.28,0.56,+0.73%,76.8,77.36,76.61,167021,"11:21 ET"
CHE,"Chemed Inc",442.08,-1.38,-0.31%,440.53,445.8,438.9,41436,"11:19 ET"
CHH,"Choice Hotels International",78.78,0.38,+0.48%,77.73,78.9,77.3,41852,"11:18 ET"
CHK,"Chesapeake Energy Corp",11.85,-0.93,-7.28%,12.31,12.92,11.55,2836400,06/26/20
CHNG,"Change Healthcare Inc",11.05,-0.02,-0.18%,11.03,11.2,10.93,509804,"11:22 ET"
CHRW,"C.H. Robinson Ww",79.14,1.38,+1.77%,77.79,79.19,77.36,342167,"11:21 ET"
CHTR,"Charter Communicatio",506.77,-2.45,-0.48%,509.63,510.88,497.71,383273,"11:21 ET"
CI,"Cigna Corp",186.81,-0.74000000000001,-0.39%,187.53,187.93,184.35,312920,"11:21 ET"
CIEN,"Ciena Corp",54.46,1.31,+2.46%,53.29,54.54,53.2,492044,"11:22 ET"
CIM,"Chimera Investment Corp",9.78,0.02,+0.20%,9.7,9.78,9.54,1138239,"11:20 ET"
CINF,"Cincinnati Financial",64.13,0.38,+0.60%,62.96,64.32,62.96,146877,"11:21 ET"
CIT,"Cit Group Inc",20.65,-0.080000000000002,-0.39%,20.42,20.89,19.94,647170,"11:21 ET"
CL,"Colgate-Palmolive Company",73.02,0.58999999999999,+0.81%,72.59,73.04,72.27,537214,"11:22 ET"
