Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
KOPN,"Kopin Cp",1.39,0.17,+13.93%,1.295,1.39,1.28,538210,"11:24 ET"
KPTI,"Karyopharm Therapeut",18.64,0.64,+3.56%,17.96,18.64,17.8,308870,"11:23 ET"
KRNT,"Kornit Digital Ord",49.57,0.57,+1.16%,49.21,49.77,48.37,70850,"11:22 ET"
KRNY,"Kearny Financial",8.16,0.11,+1.37%,7.98,8.21,7.98,27674,"11:23 ET"
KRTX,"Karuna Therapeutics Inc",109.09,2.83,+2.66%,105.89,109.85,104.54,35983,"11:24 ET"
KTOS,"Kratos Defns",15.38,-0.11,-0.71%,15.46,15.7,15.17,158591,"11:24 ET"
LAMR,"Lamar Advertis A",66.98,0.46000000000001,+0.69%,66.43,67.05,65.01,79850,"11:24 ET"
LANC,"Lancaster Colony Cor",154,2.33,+1.54%,151.71,154.81,150.61,10810,"11:17 ET"
LAUR,"Laureate Education Inc",10.07,0.15,+1.51%,9.79,10.08,9.6,70315,"11:24 ET"
LBAI,"Lakeland Bancorp Inc",11.24,0.17,+1.54%,11,11.26,10.98,24118,"11:23 ET"
LBRDA,"Liberty Broadbd A",121.1,-1.66,-1.35%,122.95,122.95,116.6,93406,"11:24 ET"
LBRDK,"Liberty Broadbd C",122.5,-2.48,-1.98%,124.25,126.51,116.78,955626,"11:24 ET"
LBTYA,"Liberty Global Ord A",21.62,-0.24,-1.10%,21.79,22.03,21.62,190433,"11:25 ET"
LBTYK,"Liberty Global Ord C",21.28,-0.2,-0.93%,21.52,21.72,21.27,464241,"11:24 ET"
LECO,"Lincoln Elec Hld",84.65,1.8,+2.17%,82.81,84.65,82.02,73053,"11:21 ET"
LFUS,"Littelfuse Inc",170.96,3.24,+1.93%,167.47,171.59,167.47,12776,"11:07 ET"
LGIH,"LGI Homes Inc",87.85,1.81,+2.10%,86.09,87.85,85.29,35732,"11:20 ET"
LGND,"Ligand Pharm",113.76,0.74000000000001,+0.65%,112.63,114.93,112.36,59153,"11:23 ET"
LHCG,"LHC Group Inc",171.8,-0.38999999999999,-0.23%,172.36,172.36,164.7,69306,"11:21 ET"
LILA,"Liberty Latin America Cl A",9.58,0.0099999999999998,+0.10%,9.49,9.58,9.37,62277,"11:22 ET"
LILAK,"Liberty Latin America Cl C",9.3,-0.040000000000001,-0.43%,9.24,9.31,9.08,103245,"11:25 ET"
LITE,"Lumentum Hld",81.91,3.5,+4.46%,78.88,82.27,78.5,841483,"11:24 ET"
LIVN,"Livanova Plc OR Sh",47.57,0.51,+1.08%,46.8,47.69,46.64,51228,"11:22 ET"
LIVX,"Livexlive Media Inc",3.5,0.22,+6.71%,3.31,3.55,3.28,227979,"11:25 ET"
LKCO,"Luokung Technology Corp",0.625,-0.005,-0.79%,0.6315,0.658,0.6146,128828,"11:10 ET"
LKFN,"Lakeland Finl Corp",46.24,0.92,+2.03%,44.84,46.55,44.84,17073,"11:15 ET"
LKQ,"LKQ Corp",26.03,0.2,+0.77%,25.8,26.04,25.45,491826,"11:24 ET"
LMAT,"Lemaitre Vascular",26.03,0.060000000000002,+0.23%,25.81,26.05,25.56,15812,"11:22 ET"
LMNX,"Luminex Corp",31.91,1.78,+5.91%,30.58,32.15,30.26,108887,"11:24 ET"
LNT,"Alliant Energy Corp",48.1,0.7,+1.48%,47.41,48.13,47.29,180722,"11:25 ET"
LOB,"Live Oak Bancsh",14.36,0.26,+1.84%,13.93,14.46,13.86,11469,"11:15 ET"
